date,title,relevance_summary,source,link,relevance_score,topic_labels
2026-03-14,Impacts of tropical forecast errors on weeks 3–4 extreme precipitation predictions over California during winter 2022–23,"Directly addresses subseasonal (weeks 3–4) forecast skill for extreme precipitation in California by examining tropical error impacts, bridging S2S prediction and extreme event forecasting with large-scale atmospheric conditioning.",Monthly Weather Review (AMS),https://doi.org/10.1175/mwr-d-25-0133.1,4,"s2s-prediction, compound-extremes, verification, predictability-sources, teleconnections"
2026-03-14,Improving Subseasonal to Seasonal Global 2-m Temperature and Precipitation Forecasts Using a Deep Learning–Based Postprocessing Approach,Develops deep learning postprocessing for S2S probabilistic forecasts of temperature and precipitation at weeks 1–6 using ECMWF reforecasts; directly addresses ML/XAI for S2S prediction skill improvement and identifies key predictors by lead time.,Monthly Weather Review (AMS),https://doi.org/10.1175/mwr-d-25-0179.1,4,"s2s-prediction, ml-s2s, verification, predictability-sources, xai"
2026-03-14,Divergent Mechanisms of High Health-Risk Compound Hot and Dry Events across China’s Early and Late Warm Seasons,Investigates seasonal and regional drivers of high health-risk compound hot–dry events across China using large-scale circulation modes and teleconnections; directly addresses compound event drivers and S2S predictability mechanisms with event-based framing.,Journal of Climate (AMS),https://doi.org/10.1175/jcli-d-25-0366.1,4,"compound-extremes, drought-flood, s2s-prediction, predictability-sources, teleconnections"
2026-03-14,Toward Reducing Uncertainty in Simulating Temporal Clustering of Extreme Precipitation in Morocco: Insights from High-Resolution GCMs,Develops process-based framework to detect and evaluate temporal clustering of extreme precipitation in Morocco; directly addresses compound consecutive precipitation extremes and their representation in high-resolution GCMs at subseasonal timescales.,Journal of Climate (AMS),https://doi.org/10.1175/jcli-d-25-0138.1,4,"compound-extremes, drought-flood, s2s-prediction, verification, event-definition"
2026-03-14,Improving subseasonal‐to‐seasonal prediction of the ENSO–East Asia teleconnection: A dynamical–statistical model approach,Improves subseasonal-to-seasonal prediction of ENSO-East Asia teleconnection using dynamical-statistical hybrid model; directly addresses S2S predictability and teleconnection-based forecast skill.,Quarterly Journal of the Royal Meteorological Society (RMetS/Wiley),https://rmets.onlinelibrary.wiley.com/doi/10.1002/qj.70031?af=R,4,"s2s-prediction,teleconnections,predictability-sources"
2026-03-14,Seasonal hindcasts to assess the hazard of meteorological drought over Europe: A multimodel approach,"Multimodel seasonal hindcasts assessing meteorological drought hazard over Europe with verification focus, directly addresses S2S drought prediction skill and ensemble methods for hazard assessment.",Quarterly Journal of the Royal Meteorological Society (RMetS/Wiley),https://rmets.onlinelibrary.wiley.com/doi/10.1002/qj.70076?af=R,4,"s2s-prediction, verification, hazard-indices, ensemble-methods"
2026-03-14,Prediction Skill of ENSO and ENSO Teleconnections in NorCPM: A Comparative Analysis with C3S,"Evaluates seasonal prediction skill of ENSO and associated teleconnections using two operational forecast systems (NorCPM and C3S), directly relevant to S2S predictability and verification methods.",Weather and Forecasting (AMS),https://doi.org/10.1175/waf-d-25-0028.1,3,"s2s-prediction, verification, teleconnections, predictability-sources"
2026-03-14,Impact of the Ensemble-Derived Background Error Covariance in the Hybrid 4DEnVar Data Assimilation Framework on the Boreal Summer Predictability of a Global Numerical Model,"Examines sensitivity of hybrid 4DEnVar data assimilation to ensemble-derived background error covariance and its impact on boreal summer forecast skill, relevant to S2S prediction methodology and predictability.",Weather and Forecasting (AMS),https://doi.org/10.1175/waf-d-25-0014.1,3,"s2s-prediction, verification, ensemble-methods"
2026-03-14,The Role of Equatorial Waves in Triggering Precipitation Extremes in the Maritime Continent,Reviews convectively coupled equatorial waves and their role in driving precipitation extremes at subseasonal timescales in the Maritime Continent; addresses predictability sources and forecasting challenges for S2S timescales.,Monthly Weather Review (AMS),https://doi.org/10.1175/mwr-d-25-0073.1,3,"s2s-prediction, predictability-sources, teleconnections, compound-extremes"
2026-03-14,"Statistical Properties of Stratiform and Convective Rain Rates under Seasonal Changes and MJO Propagation at Jakarta, the Maritime Continent",Analyzes stratiform vs. convective rainfall characteristics and their variation with the MJO at subseasonal timescales in Jakarta; relevant to understanding S2S predictability sources and precipitation type discrimination for compound event prediction.,Monthly Weather Review (AMS),https://doi.org/10.1175/mwr-d-25-0105.1,3,"s2s-prediction, predictability-sources, compound-extremes, teleconnections"
